agent_id,archetype_id,age,sex,race,marital_status,education,income,housing
74,595,18,Female,White and Middle Eastern and Native American,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
75,400,48,Male,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
76,585,27,Male,Asian,"Now married, except separated",Less than high school graduate,"$15,000 to $24,999",Householder lived in renter-occupied housing units
77,656,13,Female,Asian,Never married,Bachelor's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
78,512,18,Male,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
79,474,68,Female,White,Never married,Some college or associate's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
80,195,33,Male,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
81,398,48,Female,Hispanic or Latino and Native American and White,"Now married, except separated",Less than high school graduate,"$15,000 to $24,999",Householder lived in renter-occupied housing units
82,867,0,Male,Asian,Never married,Some college or associate's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
83,685,37,Male,Asian,Never married,Some college or associate's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
84,53,66,Female,Asian,"Now married, except separated",Some college or associate's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
85,693,39,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
86,544,29,Male,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
87,741,20,Male,Black or African American,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
88,980,29,Male,White,"Now married, except separated",Graduate or professional degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
89,144,44,Male,Asian,Never married,Graduate or professional degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
90,253,59,Male,Asian,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
91,11,71,Male,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
92,892,38,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
93,331,23,Male,Asian,Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
94,412,18,Female,Asian,Widowed,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
95,165,1,Male,White,Never married,Less than high school graduate,"$25,000 to $34,999",Householder lived in owner-occupied housing units
96,89,0,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
97,762,61,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
98,887,11,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
99,186,61,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
100,245,7,Male,Hispanic or Latino and Asian,Never married,Less than high school graduate,"$75,000 or more",Householder lived in owner-occupied housing units
101,622,42,Male,Asian,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
102,727,57,Female,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
103,648,60,Male,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
104,516,69,Female,Asian,Never married,Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
105,140,1,Female,White,Never married,High school graduate (includes equivalency),"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
106,451,51,Male,Asian,Never married,Less than high school graduate,"$15,000 to $24,999",Householder lived in renter-occupied housing units
107,224,5,Female,Middle Eastern and Asian,Widowed,Bachelor's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
108,348,39,Male,Asian,Divorced or separated,High school graduate (includes equivalency),"$35,000 to $49,999",Householder lived in renter-occupied housing units
109,846,35,Female,Asian,Never married,Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
110,532,69,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
111,583,43,Female,Pacific Islander and Hispanic or Latino and Middle Eastern,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
112,960,54,Female,White,"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
113,910,35,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Bachelor's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
114,325,62,Male,Asian,"Now married, except separated",High school graduate (includes equivalency),"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
115,32,45,Male,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
116,830,44,Male,Asian,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
117,902,51,Female,Asian,"Now married, except separated",Graduate or professional degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
118,574,73,Female,White,"Now married, except separated",Less than high school graduate,"$25,000 to $34,999",Householder lived in renter-occupied housing units
119,842,29,Male,White,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
120,124,37,Male,Asian,"Now married, except separated",Some college or associate's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
121,78,55,Female,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
122,671,65,Female,White,Never married,Bachelor's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
123,96,46,Female,Asian,"Now married, except separated",Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
124,250,55,Male,White,Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
125,798,33,Male,Hispanic or Latino origin (of any race),Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
126,148,49,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
127,649,42,Male,White,"Now married, except separated",Less than high school graduate,"$65,000 to $74,999",Householder lived in owner-occupied housing units
128,391,8,Male,White,"Now married, except separated",Some college or associate's degree,"$75,000 or more",Householder lived in owner-occupied housing units
129,673,74,Female,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
130,161,47,Male,White,Never married,Some college or associate's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
131,427,42,Female,Asian,"Now married, except separated",High school graduate (includes equivalency),"$75,000 or more",Householder lived in renter-occupied housing units
132,920,18,Female,Asian,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
133,160,0,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
134,366,47,Female,White and Hispanic or Latino and Black or African American,"Now married, except separated",Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
135,635,34,Male,White,Widowed,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
136,26,64,Male,White,Never married,Less than high school graduate,"$50,000 to $64,999",Householder lived in renter-occupied housing units
137,120,31,Female,White,Never married,Some college or associate's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
138,191,36,Female,Asian and Hispanic or Latino and Native American,Never married,Less than high school graduate,"$10,000 to $14,999",Householder lived in owner-occupied housing units
139,212,0,Female,Asian,Never married,Less than high school graduate,"$35,000 to $49,999",Householder lived in owner-occupied housing units
140,821,64,Male,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
141,625,13,Female,Hispanic or Latino origin (of any race),Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
142,882,60,Female,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
143,112,7,Male,Hispanic or Latino origin (of any race),"Now married, except separated",High school graduate (includes equivalency),"$15,000 to $24,999",Householder lived in owner-occupied housing units
144,594,47,Female,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
145,34,30,Female,White,Never married,Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
146,315,50,Male,Hispanic or Latino origin (of any race),Never married,Less than high school graduate,"$25,000 to $34,999",Householder lived in owner-occupied housing units
147,862,8,Female,White,"Now married, except separated",High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
148,580,0,Female,Asian,Never married,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
149,452,0,Male,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
150,34,28,Female,White,Never married,Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
151,707,47,Female,Asian,Never married,Bachelor's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
152,933,69,Male,Asian,Never married,Less than high school graduate,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
153,21,26,Female,White,"Now married, except separated",Graduate or professional degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
154,599,63,Male,Asian,"Now married, except separated",Some college or associate's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
155,492,26,Male,Middle Eastern and Black or African American,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
156,623,42,Male,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
157,210,26,Female,Asian,"Now married, except separated",Less than high school graduate,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
158,545,55,Female,Black or African American,Divorced or separated,Less than high school graduate,"$10,000 to $14,999",Householder lived in renter-occupied housing units
159,58,25,Male,Middle Eastern and White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
160,157,69,Male,Asian,Never married,High school graduate (includes equivalency),"$65,000 to $74,999",Householder lived in renter-occupied housing units
161,602,30,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
162,768,38,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
163,211,0,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
164,928,0,Female,Black or African American,Never married,Graduate or professional degree,"$65,000 to $74,999",Householder lived in owner-occupied housing units
165,269,42,Female,Asian,Never married,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
166,430,21,Male,White,Divorced or separated,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
167,30,0,Female,Black or African American and White,"Now married, except separated",High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
168,969,0,Male,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
169,697,32,Female,White,"Now married, except separated",Some college or associate's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
170,657,59,Female,White,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
171,184,11,Male,Middle Eastern and Black or African American,Never married,Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
172,175,0,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
173,206,59,Female,White and Black or African American and Asian,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
174,226,71,Male,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
175,313,2,Female,White,"Now married, except separated",Some college or associate's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
176,623,37,Male,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
177,944,27,Female,Asian,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
178,182,1,Female,White,"Now married, except separated",Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
179,268,69,Female,Asian,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
180,289,33,Female,Hispanic or Latino origin (of any race),Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
181,319,50,Male,Black or African American,Divorced or separated,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
182,336,41,Male,Black or African American,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
183,421,46,Female,Asian,Widowed,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
184,473,65,Female,White,Never married,Graduate or professional degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
185,175,0,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
186,465,74,Male,Asian,Never married,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
187,137,54,Male,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
188,774,47,Female,Asian and White,Widowed,Less than high school graduate,"$15,000 to $24,999",Householder lived in renter-occupied housing units
189,165,2,Male,White,Never married,Less than high school graduate,"$25,000 to $34,999",Householder lived in owner-occupied housing units
190,159,40,Female,Asian and Hispanic or Latino,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
191,831,18,Female,Pacific Islander and Black or African American,Never married,Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
192,650,47,Female,White,"Now married, except separated",Some college or associate's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
193,752,22,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
194,245,8,Male,Middle Eastern and White and Native American,Never married,Less than high school graduate,"$75,000 or more",Householder lived in owner-occupied housing units
195,600,31,Female,Hispanic or Latino origin (of any race),Divorced or separated,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
196,746,26,Male,Middle Eastern and Black or African American,Divorced or separated,Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
197,857,39,Female,Black or African American,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
198,338,0,Female,Asian,Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
199,57,26,Female,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
200,414,30,Female,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
201,559,38,Male,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
202,567,43,Female,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
203,721,62,Male,Asian,"Now married, except separated",Graduate or professional degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
204,526,51,Male,White,"Now married, except separated",Graduate or professional degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
205,176,31,Female,Pacific Islander and Middle Eastern,"Now married, except separated",High school graduate (includes equivalency),"$75,000 or more",Householder lived in renter-occupied housing units
206,874,52,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
207,2,42,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
208,954,23,Male,Black or African American,Never married,Graduate or professional degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
209,143,0,Female,Asian,"Now married, except separated",Bachelor's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
210,918,25,Female,Asian,"Now married, except separated",Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
211,530,14,Female,White,"Now married, except separated",Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
212,796,51,Female,Hispanic or Latino origin (of any race),Never married,Less than high school graduate,"$15,000 to $24,999",Householder lived in owner-occupied housing units
213,941,72,Male,Asian,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
214,332,3,Female,Pacific Islander and Middle Eastern,"Now married, except separated",Some college or associate's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
215,283,27,Male,Asian,Divorced or separated,Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
216,984,29,Female,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
217,176,26,Female,Pacific Islander and Asian and Black or African American,"Now married, except separated",High school graduate (includes equivalency),"$75,000 or more",Householder lived in renter-occupied housing units
218,3,56,Female,Asian,Never married,Graduate or professional degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
219,437,8,Female,Asian,"Now married, except separated",Bachelor's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
220,971,56,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
221,371,29,Male,White,Never married,High school graduate (includes equivalency),"$15,000 to $24,999",Householder lived in owner-occupied housing units
222,728,59,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
223,648,64,Male,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
224,632,32,Male,Asian,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
225,654,36,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Less than high school graduate,"$50,000 to $64,999",Householder lived in renter-occupied housing units
226,199,22,Female,Asian,Never married,Some college or associate's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
227,186,60,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
228,625,16,Female,Hispanic or Latino origin (of any race),Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
229,655,0,Male,Asian,"Now married, except separated",Graduate or professional degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
230,41,41,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
231,394,63,Male,Asian,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in renter-occupied housing units
232,188,40,Female,White,Never married,Bachelor's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
233,759,0,Male,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
234,7,54,Male,White,"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
235,888,26,Male,White,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
236,534,9,Male,Asian,"Now married, except separated",Some college or associate's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
237,576,49,Male,Asian,Never married,Some college or associate's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
